0,1,2
"33.914989,-92.139146",2020-03-01,57
"33.258045,-93.24745899999999",2020-03-01,58
"35.214487,-92.70416",2020-03-01,55
"35.835235,-90.669325",2020-03-01,53
"35.496882,-94.28435999999999",2020-03-01,57
"35.17736,-90.217261",2020-03-01,55
"35.252833,-90.775307",2020-03-01,55
"33.869213,-92.527123",2020-03-01,57
"33.773838,-91.417485",2020-03-01,57
"33.6274,-91.781779",2020-03-01,57
"35.104918,-92.40535899999999",2020-03-01,54
"35.446102,-93.885464",2020-03-01,55
"36.376787,-91.764934",2020-03-01,52
"34.505811,-93.081852",2020-03-01,55
"34.309174,-92.41271400000001",2020-03-01,56
"36.07312,-90.523016",2020-03-01,53
"33.699647,-93.623587",2020-03-01,57
"34.353464,-92.894595",2020-03-01,55
"33.983198,-93.910184",2020-03-01,57
"35.749801,-91.607539",2020-03-01,54
"36.120217,-91.908429",2020-03-01,53
"35.621102,-91.24623299999999",2020-03-01,53
"34.233473,-92.041179",2020-03-01,57
"35.475272,-93.47551700000001",2020-03-01,54
"33.287628999999995,-93.557538",2020-03-01,58
"36.070223999999996,-91.065733",2020-03-01,54
"34.785214,-90.774516",2020-03-01,55
"33.975379,-91.746234",2020-03-01,57
"33.700518,-94.195995",2020-03-01,59
"35.227532000000004,-93.768119",2020-03-01,56
"34.905178,-91.970577",2020-03-01,55
"36.061309,-93.755297",2020-03-01,54
"36.28457,-92.663368",2020-03-01,55
"33.400831,-93.987504",2020-03-01,59
"35.84288,-89.999037",2020-03-01,54
"34.777729,-91.218021",2020-03-01,55
"34.517013,-93.622663",2020-03-01,55
"33.722167999999996,-93.358085",2020-03-01,57
"35.98494,-93.1705",2020-03-01,55
"33.574461,-92.838871",2020-03-01,58
"34.999054,-92.779271",2020-03-01,55
"34.529768,-90.707796",2020-03-01,56
"34.187298,-93.624765",2020-03-01,56
"35.60191,-90.557998",2020-03-01,54
"34.52045,-94.25851899999999",2020-03-01,56
"35.309776,-93.097238",2020-03-01,55
"34.859177,-91.536241",2020-03-01,56
"34.773719,-92.31165899999999",2020-03-01,56
"36.304758,-90.98841999999999",2020-03-01,53
"35.015313,-90.770297",2020-03-01,55
"34.593233000000005,-92.546163",2020-03-01,56
"34.907145,-94.095905",2020-03-01,58
"35.922829,-92.659155",2020-03-01,53
"35.318195,-94.354435",2020-03-01,58
"34.014236,-94.304091",2020-03-01,58
"36.178492999999996,-91.520168",2020-03-01,53
"35.856705,-92.137",2020-03-01,53
"33.20687,-92.64508000000001",2020-03-01,58
"35.567839,-92.421475",2020-03-01,53
"36.094275,-94.17222199999999",2020-03-01,55
"35.243736,-91.767388",2020-03-01,55
"35.233191,-91.25207900000001",2020-03-01,55
"35.120982,-93.28945999999999",2020-03-01,56
"37.705201,-122.100393",2020-03-01,49
"38.728297999999995,-119.847603",2020-03-01,19
"38.394208,-120.775729",2020-03-01,46
"39.669037,-121.70763500000001",2020-03-01,48
"38.163627000000005,-120.63371799999999",2020-03-01,43
"39.156147999999995,-122.08555700000001",2020-03-01,49
"37.935588,-122.03013100000001",2020-03-01,50
"41.791232,-124.16308799999999",2020-03-01,44
"38.746543,-120.74433",2020-03-01,42
"36.738918,-119.76788400000001",2020-03-01,51
"39.663418,-122.17749099999999",2020-03-01,51
"40.752982,-124.087189",2020-03-01,44
"32.841101,-115.53448700000001",2020-03-01,64
"37.160247,-118.267513",2020-03-01,29
"35.372968,-118.936004",2020-03-01,49
"36.242748999999996,-119.72908400000001",2020-03-01,51
"38.973362,-122.734609",2020-03-01,41
"40.392396999999995,-120.579176",2020-03-01,29
"34.065193,-118.244222",2020-03-01,59
"37.043099,-120.00675",2020-03-01,48
"37.986705,-122.547075",2020-03-01,50
"37.542747999999996,-119.957219",2020-03-01,39
"39.285329,-123.397227",2020-03-01,42
"37.281015999999994,-120.623989",2020-03-01,48
"41.522584,-120.65091100000001",2020-03-01,28
"37.763321999999995,-118.97059399999999",2020-03-01,19
"36.611722,-121.64616200000002",2020-03-01,48
"38.329075,-122.321646",2020-03-01,45
"39.219524,-120.916546",2020-03-01,40
"33.733953,-117.86288",2020-03-01,58
"38.844511,-121.18246599999999",2020-03-01,46
"39.983857,-120.825847",2020-03-01,30
"33.800439000000004,-117.06620500000001",2020-03-01,48
"38.56895,-121.38086100000001",2020-03-01,50
