date,Temp,cases
2020-12-01,37.15335666560611,4253.827065351418
2020-12-02,37.30798600063633,4313.185767097967
2020-12-03,38.69805917912822,4380.332717190388
2020-12-04,42.548520521794465,4452.924807395993
2020-12-05,41.35793827553293,4514.940850277264
2020-12-06,41.01972637607381,4567.978126925446
2020-12-07,41.06999681832644,4632.295531587057
2020-12-08,41.552974864778875,4700.0628659476115
2020-12-09,45.12122176264715,4769.229963008631
2020-12-10,45.80687241489023,4835.838262476895
2020-12-11,44.86764237989183,4922.103512014787
2020-12-12,44.50206808781419,4986.011090573013
2020-12-13,41.6054724785237,5041.219587311364
2020-12-14,36.29366846961502,5104.717498459642
2020-12-15,33.87782373528476,5165.6646134893745
2020-12-16,34.60292713967547,5242.743684534812
2020-12-17,35.36461979000954,5317.840061633282
2020-12-18,36.355392936684694,5395.2486902927585
2020-12-19,37.142857142857146,5453.336105976587
2020-12-20,40.233853006681514,5510.473035439137
2020-12-21,43.0206808781419,5572.590138674885
2020-12-22,42.23735284759783,5634.739291217257
2020-12-23,40.52083996181992,5704.9241910631745
2020-12-24,34.132039452752146,5764.571956856703
2020-12-25,30.89182309895005,5795.6949152542375
2020-12-26,33.93984723106302,5862.523266563944
2020-12-27,38.097995545657014,5909.395993836672
2020-12-28,36.63951638561883,5967.653004622496
2020-12-29,36.63856188355075,6029.627118644068
2020-12-30,39.02640789055043,6100.208936825886
2020-12-31,37.70410435889278,6171.4092449922955
